player,team,pos,salary,proj
Dalvin Cook,MIN,RB,12000,21.5
Alvin Kamara,NO,RB,11400,24
Drew Brees,NO,QB,10200,19.7
Kirk Cousins,MIN,QB,9600,19
Justin Jefferson,MIN,WR,9200,18.9
Emmanuel Sanders,NO,WR,8800,12.4
Adam Thielen,MIN,WR,8600,17
Michael Thomas,NO,WR,7800,0
Tre'Quan Smith,NO,WR,6400,0
Sean Mannion,MIN,QB,6000,0
Taysom Hill,NO,QB,6000,5.1
Jameis Winston,NO,QB,6000,0
Jared Cook,NO,TE,5600,10.3
Irv Smith Jr.,MIN,TE,5200,9.5
Latavius Murray,NO,RB,4800,10.1
Saints,NO,DST,4200,6.3
Wil Lutz,NO,K,3800,9.7
Taylor Bertolet,MIN,K,3400,0
Dan Bailey,MIN,K,3400,7.4
Tyler Conklin,MIN,TE,3000,3.6
Vikings,MIN,DST,2800,3
Lil'Jordan Humphrey,NO,WR,2600,5.2
Kyle Rudolph,MIN,TE,2400,0
Juwan Johnson,NO,WR,2200,4.6
Alexander Mattison,MIN,RB,2000,0
Chad Beebe,MIN,WR,1800,4.6
Tommylee Lewis,NO,WR,1400,2
Adam Trautman,NO,TE,1000,2.2
Austin Carr,NO,WR,600,0
Olabisi Johnson,MIN,WR,400,0
Marquez Callaway,NO,WR,200,7.4
Mike Boone,MIN,RB,200,3
Ameer Abdullah,MIN,RB,200,1.2
Josh Hill,NO,TE,200,1.7
Ty Montgomery,NO,RB,200,0
C.J. Ham,MIN,RB,200,0
Bennie Fowler III,NO,WR,200,0
Zach Wood,NO,TE,200,0
Dwayne Washington,NO,RB,200,0
Deonte Harris,NO,WR,200,0
Dan Chisena,MIN,WR,200,0
K.J. Osborn,MIN,WR,200,0
Andrew DePaola,MIN,TE,200,0
Hale Hentges,MIN,TE,200,0
Michael Burton,NO,RB,200,0.4
